role_search,title,company,location,area,created,description,category,contract_type,contract_time,salary_min,salary_max,redirect_url,country,region,city,has_sql,has_excel,has_python,has_r_,has_power_bi,has_tableau,has_azure,has_aws,salary_avg,years_exp,has_r_programming
business analyst,Business Analyst Trainee,ITOL Recruit,"Leeds, West Yorkshire","['UK', 'Yorkshire And The Humber', 'West Yorkshire', 'Leeds']",2025-11-11T11:38:36Z,"Are you looking to start a career as a Business Analyst (BA) and need tailored recruitment support and the right qualifications to secure your career? A business analyst is a problem solver who for example investigates an issue or area of weakness within an organisation, analyses solutions and helps facilitate the change that is needed. If you enjoy problem solving and analysing, have good admin skills and communicate well, then a career in this rewarding sector will suit you. Demand for junior…",IT Jobs,permanent,full_time,26000.0,35000.0,https://www.adzuna.co.uk/jobs/land/ad/5490358294?se=ZqUoGovF8BG8r4BHwuTYvQ&utm_medium=api&utm_source=ca4e041d&v=B29E841AE3A0A1A1AB6DE8BFF867E78F4447BF07,UK,Yorkshire And The Humber,Leeds,False,False,False,True,False,False,False,False,30500.0,,False
business analyst,Business Analyst,The British Society for Haematology,"Barnsbury, North London","['UK', 'London', 'North London', 'Barnsbury']",2025-11-19T07:44:56Z,"Role Title: Business Analyst Contract: Fixed-term, 12 months Salary: £42,000 per annum Place of Work: British Society for Haematology (BSH) Headquarters, 100 White Lion Street, London, N1 9PF (hybrid working, with occasional on-site meetings). Hours: Full-time, 35 hours (normally 9am-5pm, with an hour unpaid for lunch). About Us The British Society for Haematology (BSH) is the largest UK multidisciplinary Haematology Society with over 3,000 members. Our activities include running education even…",IT Jobs,permanent,full_time,42000.0,42000.0,https://www.adzuna.co.uk/jobs/land/ad/5502936636?se=ZqUoGovF8BG8r4BHwuTYvQ&utm_medium=api&utm_source=ca4e041d&v=2E30DA578D529A9F4BE6B9C548DD50FC64C5FEB5,UK,London,Barnsbury,False,False,False,True,False,False,False,False,42000.0,,False
business analyst,Business Analyst,Department for Work and Pensions,"Birmingham, West Midlands","['UK', 'West Midlands', 'Birmingham']",2025-11-12T11:19:41Z,"As a BA working within DWP Digital these are some of the things you will be doing: Working as part of a multidisciplinary team in Platforms and Operations alongside Product, Delivery, Dev Ops and Engineers.You will be expected to know and applyappropriate businessanalysisactivities to support the teamsobjectives,and then translate theminto repeatable, standardised processes or activities with the wider Platforms & OperationsBA community whereappropriate. Workingwithin one of the DWP Analytics t…",IT Jobs,,part_time,43052.29,43052.29,https://www.adzuna.co.uk/jobs/land/ad/5491782592?se=ZqUoGovF8BG8r4BHwuTYvQ&utm_medium=api&utm_source=ca4e041d&v=64321056A330CC99C1AEABAB0526C3DD0E2A412D,UK,West Midlands,Birmingham,False,False,False,True,False,False,False,False,43052.29,,False
business analyst,Business Analyst,Copper,"London, UK","['UK', 'London']",2025-09-22T16:21:58Z,"Since being founded in 2018, Copper has been building the standard for institutional digital asset infrastructure with a focus on custody, collateral management, and prime services. Led by Amar Kuchinad, Coppers Global CEO, the firm provides a comprehensive suite of custody, trading and settlement solutions that reduce counterparty risk and bring greater capital and operational efficiency to digital asset markets. At the heart of Coppers offering is Multi-Party Computation (MPC) technology – th…",IT Jobs,,full_time,56324.81,56324.81,https://www.adzuna.co.uk/jobs/land/ad/5410642221?se=ZqUoGovF8BG8r4BHwuTYvQ&utm_medium=api&utm_source=ca4e041d&v=2223907546C9EE9120E0485E5F912270CC7F30A4,UK,London,London,False,False,False,True,False,False,False,False,56324.81,,False
business analyst,Senior Business Analyst,Ocho,"Belfast, Northern Ireland","['UK', 'Northern Ireland', 'Belfast']",2025-11-11T03:16:13Z,"Senior Business Analyst - Financial Services | Belfast | Up to £65k  15% bonus | Hybrid (3 days on-site) We're partnering with a leading financial services firm in Belfast to hire a Senior Business Analyst who can shape delivery outcomes across a diverse software portfolio. You'll work directly with the Lead BA and Head of Engineering, turning complex, high-impact ideas into clear, deliverable plans across front-end and back-end initiatives. In this hands-on role you'll own discovery and requir…",IT Jobs,,,65000.0,65000.0,https://www.adzuna.co.uk/jobs/land/ad/5490072645?se=ZqUoGovF8BG8r4BHwuTYvQ&utm_medium=api&utm_source=ca4e041d&v=1C57FE35AECEBDE51C61A49DFCC3EC5620C536E8,UK,Northern Ireland,Belfast,False,False,False,True,False,False,False,False,65000.0,,False
business analyst,Technical Business Analyst,MCS Group,"Belfast, Northern Ireland","['UK', 'Northern Ireland', 'Belfast']",2025-11-05T03:39:28Z,"MCS Group are supporting one of our long-standing clients through a major systems transformation, and they're seeking a Technical Business Analyst to play a crucial role in bridging business needs with engineering delivery. You'll dive deep into existing legacy systems, collaborating closely with engineers and PMs to scope out technical requirements and support smooth system transitions. Your insights will help shape the roadmap as the organisation modernises its internal platforms. What we're …",IT Jobs,,,60000.0,60000.0,https://www.adzuna.co.uk/jobs/land/ad/5481503486?se=ZqUoGovF8BG8r4BHwuTYvQ&utm_medium=api&utm_source=ca4e041d&v=FBB0D0D28F3697BA3BE03B516C40EC10E083A799,UK,Northern Ireland,Belfast,False,False,False,True,False,False,False,False,60000.0,,False
business analyst,Technical Business Analyst,Ocho,"Belfast, Northern Ireland","['UK', 'Northern Ireland', 'Belfast']",2025-11-06T03:22:40Z,"Job description Technical Business Analyst - Financial Services Location: UK-based (Belfast Hybrid) Eligibility: UK work authorisation required (no sponsorship available) Join a high-performing team delivering regulatory and data-led change across global financial platforms. We're hiring a Technical Business Analyst with a strong understanding of agile delivery and a track record of solving complex issues in financial services. If you thrive at the intersection of data, systems, and stakeholder…",IT Jobs,,,55000.0,55000.0,https://www.adzuna.co.uk/jobs/land/ad/5483085716?se=ZqUoGovF8BG8r4BHwuTYvQ&utm_medium=api&utm_source=ca4e041d&v=04C1E49B5457BC07A4C603CAB6051575E8409C50,UK,Northern Ireland,Belfast,False,False,False,False,False,False,False,False,55000.0,,False
business analyst,Business Analyst,BGC Partners,"London, UK","['UK', 'London']",2025-10-08T12:38:12Z,Creating functional requirements for the development of new regulatory requirements e.g. onto the strategic reporting and surveillance platforms Creating functional requirements for enhancements and fixes to the strategic reporting and surveillance platforms Creating functional requirements for migration of the reporting logic currently accommodated by other legacy applications onto the strategic reporting platform Engaging upstream system owners where changes are required for regulatory report…,IT Jobs,,full_time,75016.61,75016.61,https://www.adzuna.co.uk/jobs/land/ad/5437077584?se=ZqUoGovF8BG8r4BHwuTYvQ&utm_medium=api&utm_source=ca4e041d&v=B883D5D7A5852E9C2B0017EFB54C0AF6B6CEA221,UK,London,London,False,False,False,True,False,False,False,False,75016.61,,False
business analyst,Business Analyst Trainee,ITOL Recruit,"Edinburgh Technopole, Milton Bridge","['UK', 'Scotland', 'Midlothian', 'Penicuik', 'Milton Bridge', 'Edinburgh Technopole']",2025-11-11T11:38:36Z,"Are you looking to start a career as a Business Analyst (BA) and need tailored recruitment support and the right qualifications to secure your career? A business analyst is a problem solver who for example investigates an issue or area of weakness within an organisation, analyses solutions and helps facilitate the change that is needed. If you enjoy problem solving and analysing, have good admin skills and communicate well, then a career in this rewarding sector will suit you. Demand for junior…",IT Jobs,permanent,full_time,26000.0,35000.0,https://www.adzuna.co.uk/jobs/land/ad/5490358292?se=ZqUoGovF8BG8r4BHwuTYvQ&utm_medium=api&utm_source=ca4e041d&v=9E624B7F9A43C30160AC7917953E1F9878A932F0,UK,Scotland,Edinburgh Technopole,False,False,False,True,False,False,False,False,30500.0,,False
business analyst,Lead Business Analyst,COMPANIES HOUSE,"Maindy, Cardiff","['UK', 'Wales', 'Cardiff County', 'Cardiff', 'Maindy']",2025-11-17T23:11:32Z,"We have an exciting opportunity for an experienced Lead Business Analyst to join our Business Analysis team! The role is key in the identification, analysis, and delivery of requirements for our service teams whilst working in an Agile way using Scrum framework. We are looking for an enthusiastic and motivated team player with a passion for driving change, who can use their business analysis skills and expertise to coach and mentor others. If you are interested in this role and enjoy working in…",IT Jobs,permanent,,60000.0,60000.0,https://www.adzuna.co.uk/jobs/land/ad/5501046146?se=ZqUoGovF8BG8r4BHwuTYvQ&utm_medium=api&utm_source=ca4e041d&v=81E316F8390B5B79258D7F089C1CCD862668D2E1,UK,Wales,Maindy,False,False,False,True,False,False,False,False,60000.0,,False
business analyst,Senior Business Analyst,COMPANIES HOUSE,"Maindy, Cardiff","['UK', 'Wales', 'Cardiff County', 'Cardiff', 'Maindy']",2025-11-15T20:50:27Z,"Companies House as anorganisation is moving to a service team structure as part of its transformation.Our Business Analysts will play a key role in the identification, analysis, and delivery of requirements for our service teams whilst working in an Agile way using Scrum framework.Due to recent legislative change, we are in an exciting period of growth and are looking to increase our number of business analysts. The Business Analysis team sits within Product Design which is part of the Digital …",IT Jobs,permanent,,50000.0,50000.0,https://www.adzuna.co.uk/jobs/land/ad/5498334971?se=ZqUoGovF8BG8r4BHwuTYvQ&utm_medium=api&utm_source=ca4e041d&v=2855F5477C56E7AC1E4DDAC811D7B21223802B7F,UK,Wales,Maindy,False,False,False,True,False,False,False,False,50000.0,,False
business analyst,Finance Business Analyst,Fabric Recruitment,"Sutton-In-Ashfield, Nottinghamshire","['UK', 'East Midlands', 'Nottinghamshire', 'Sutton-In-Ashfield']",2025-10-31T15:08:27Z,"Financial Business Analyst Kirkby in Ashfield £30,000 - £34,000 Are you ready to take the next step in your finance career? Our client is seeking a proactive and detail-driven Financial Business Analyst to join their growing team. This is an exciting opportunity for someone with strong analytical skills, excellent Excel ability, and a passion for turning numbers into meaningful insight that drives business success. If you're looking for a role where no two days are the same, and where you'll be…",Accounting & Finance Jobs,permanent,,30000.0,30000.0,https://www.adzuna.co.uk/jobs/land/ad/5472925330?se=ZqUoGovF8BG8r4BHwuTYvQ&utm_medium=api&utm_source=ca4e041d&v=F9F322E2B872767C16739C0642897D2418F277C4,UK,East Midlands,Sutton-In-Ashfield,False,True,False,True,False,False,False,False,30000.0,,False
business analyst,Senior Pensions Business Analyst,Isio Group Limited,"Belfast, Northern Ireland","['UK', 'Northern Ireland', 'Belfast']",2025-11-18T03:29:35Z,"Senior Pensions Business Analyst We are expanding our Pensions Administration Projects team and are looking for an experienced Business Analysts who can lead and run projects in a flexible and adaptive way to deliver the best results for the business. We are delivering across the administration business on small, medium, and large-scale projects. The roadmap consists of a range of different projects from customer-facing systems, core internal systems to strategic decision analysis. The ambition…",IT Jobs,,,60000.0,60000.0,https://www.adzuna.co.uk/jobs/land/ad/5501259534?se=ZqUoGovF8BG8r4BHwuTYvQ&utm_medium=api&utm_source=ca4e041d&v=B27BA1FB4C39E732D9B6B8847554FA8B7451A20E,UK,Northern Ireland,Belfast,False,False,False,True,False,False,False,False,60000.0,,False
business analyst,Finance and Business Analyst,ABLE BRIDGE RECRUITMENT LIMITED,"Haddington, East Lothian","['UK', 'Scotland', 'East Lothian', 'Haddington']",2025-10-23T04:28:13Z,"The Company Able Bridge Recruitment are thrilled to be partnering a charity who deliver a tangible community service in the recruitment of a financial analyst. We are working with them in the recruitment of an accountant who will not only look at BAU accounting activities but also look at analysing key data, processes and historical trends in growing the services provided. Benefits include Free gym membership Retail perks/discounts Outstanding pension scheme Highly generous holiday entitlement …",Accounting & Finance Jobs,permanent,part_time,30000.0,30000.0,https://www.adzuna.co.uk/jobs/land/ad/5460176759?se=ZqUoGovF8BG8r4BHwuTYvQ&utm_medium=api&utm_source=ca4e041d&v=35DDD431A8AACE0A1CFE2087385B231E464FC561,UK,Scotland,Haddington,False,False,False,True,False,False,False,False,30000.0,,False
business analyst,Business Analyst,Samvedya Technologies LTD,"London, UK","['UK', 'London']",2025-11-19T14:08:13Z,"Company Overview: Samvedya Technologies is a leading innovator in the IT industry, committed to providing advanced solutions to our clients. We are driven by our passion for technology and constantly strive to push the boundaries of what’s possible. As we expand our team, we’re looking for talented Programmers and Software Development Professionals who can help us build next-generation software solutions that drive business transformation. About the Role We are seeking an experienced Business A…",IT Jobs,permanent,full_time,0.0,40000.0,https://www.adzuna.co.uk/jobs/details/5503181024?utm_medium=api&utm_source=ca4e041d,UK,London,London,False,False,False,True,False,False,False,False,20000.0,,False
business analyst,Senior Business Analyst,Nationwide Building Society,"Swindon, Wiltshire","['UK', 'South West England', 'Wiltshire', 'Swindon']",2025-10-10T13:18:56Z,At Nationwide the CI/CD (Continuous Integration / Continuous Deployment) platform team are responsible for delivering the automation pipelines that enable efficient software delivery for our engineering teams. The teams develop and support the full range of CI/CD tools and orchestrations and use DevOps frameworks and techniques and associated controls to continually improve our CI/CD product offering. We have an exciting opportunity for a Senior Business Analyst to join our team. This role will…,IT Jobs,,full_time,47282.93,47282.93,https://www.adzuna.co.uk/jobs/land/ad/5441180360?se=ZqUoGovF8BG8r4BHwuTYvQ&utm_medium=api&utm_source=ca4e041d&v=FA51EA6D4F0684A41179D1527088D5871A567E61,UK,South West England,Swindon,False,False,False,True,False,False,False,False,47282.93,,False
business analyst,Senior Business Analyst,Nationwide Building Society,"London, UK","['UK', 'London']",2025-10-10T13:19:50Z,At Nationwide the CI/CD (Continuous Integration / Continuous Deployment) platform team are responsible for delivering the automation pipelines that enable efficient software delivery for our engineering teams. The teams develop and support the full range of CI/CD tools and orchestrations and use DevOps frameworks and techniques and associated controls to continually improve our CI/CD product offering. We have an exciting opportunity for a Senior Business Analyst to join our team. This role will…,IT Jobs,,full_time,49802.23,49802.23,https://www.adzuna.co.uk/jobs/land/ad/5441181718?se=ZqUoGovF8BG8r4BHwuTYvQ&utm_medium=api&utm_source=ca4e041d&v=841F675016AB67DE92712B4B93AE38496D938905,UK,London,London,False,False,False,True,False,False,False,False,49802.23,,False
business analyst,Senior Business Analyst,Nationwide Building Society,"Northampton, Northamptonshire","['UK', 'East Midlands', 'Northamptonshire', 'Northampton']",2025-10-10T13:19:50Z,At Nationwide the CI/CD (Continuous Integration / Continuous Deployment) platform team are responsible for delivering the automation pipelines that enable efficient software delivery for our engineering teams. The teams develop and support the full range of CI/CD tools and orchestrations and use DevOps frameworks and techniques and associated controls to continually improve our CI/CD product offering. We have an exciting opportunity for a Senior Business Analyst to join our team. This role will…,IT Jobs,,full_time,46109.9,46109.9,https://www.adzuna.co.uk/jobs/land/ad/5441181682?se=ZqUoGovF8BG8r4BHwuTYvQ&utm_medium=api&utm_source=ca4e041d&v=EA25C2BC7F2B29DA045F91CFB6DC826CB66BD07A,UK,East Midlands,Northampton,False,False,False,True,False,False,False,False,46109.9,,False
business analyst,Senior Technical Business Analyst,VANRATH,"Belfast, Northern Ireland","['UK', 'Northern Ireland', 'Belfast']",2025-11-08T03:11:41Z,"VANRATH is proud to be partnering with a global leader in financial markets and trading solutions, as they build out a brand-new corporate strategy and operations team in Belfast. This is a high-impact opportunity for an experienced Technical Business Analyst to join a business undergoing major transformation, modernising core systems, streamlining commercial operations, and building smarter internal infrastructure to support continued growth. You'll act as the critical link between product, en…",IT Jobs,,,60000.0,60000.0,https://www.adzuna.co.uk/jobs/land/ad/5486434327?se=ZqUoGovF8BG8r4BHwuTYvQ&utm_medium=api&utm_source=ca4e041d&v=A87B817E78DB41D2042E78D71E7BD213749E752D,UK,Northern Ireland,Belfast,False,False,False,True,False,False,False,False,60000.0,,False
business analyst,Transformation Consultant - Business Analyst,MCS Group,"Belfast, Northern Ireland","['UK', 'Northern Ireland', 'Belfast']",2025-11-12T03:48:12Z,"Transformation Consultant / Business Analyst Exclusive opportunity with MCS Group MCS Group is thrilled to be exclusively partnering with a leading consultancy at the forefront of digital transformation within Procurement and Third-Party Risk Management (TPRM). We're seeking a talented Transformation Consultant / Business Analyst to help clients design, implement, and deliver technology-enabled change that truly makes a difference. This is an exciting opportunity for someone who loves solving p…",IT Jobs,,,45000.0,45000.0,https://www.adzuna.co.uk/jobs/land/ad/5491452123?se=ZqUoGovF8BG8r4BHwuTYvQ&utm_medium=api&utm_source=ca4e041d&v=D72BF4EAB6F30760F4375EA78795461D8D4365EA,UK,Northern Ireland,Belfast,False,False,False,True,False,False,False,False,45000.0,,False
business analyst,Business Analyst (ecommerce clients),Outserve,"Stafford, Staffordshire","['UK', 'West Midlands', 'Staffordshire', 'Stafford']",2025-11-19T18:39:32Z,"Join Outserve as a Business Analyst Job Title: Business Analyst (Client-Facing) Powering the Worlds Most Exciting Ecommerce Brands Salary: £40 - £45,000 Are you a client-focused problem solver with a passion for business analysis and technology? Do you thrive in a collaborative environment where innovation and integrity are at the heart of everything you do? If so, Outserve invites you to be part of our dynamic team. About Outserve At Outserve, we dont just support businesseswe help some of the…",IT Jobs,permanent,,45000.0,45000.0,https://www.adzuna.co.uk/jobs/land/ad/5503735486?se=ZqUoGovF8BG8r4BHwuTYvQ&utm_medium=api&utm_source=ca4e041d&v=EFB4C940EB5AE81F68EBEB36D044CF7290AABB82,UK,West Midlands,Stafford,False,False,False,True,False,False,False,False,45000.0,,False
business analyst,Science & Technology - Junior Business Analyst,ADIGILEAP LIMITED,"Wrexham Technology Park, Wrexham","['UK', 'Wales', 'Wrexham', 'Wrexham Technology Park']",2025-11-19T14:20:52Z,"Kickstart Your Career in Science & Technology Consulting! Location: Wrexham, North Wales Role: Junior Business Analyst Scientific & Digital Transformation Are you a recent graduate passionate about science and technology? Ready to make an impact in industries like pharmaceuticals, consumer goods, and petrochemicals ? Join ADIGILEAP , a dynamic consultancy headquartered in Wrexham, and help shape the future of laboratory operations through cutting-edge digital solutions. Why ADIGILEAP? Were buil…",Scientific & QA Jobs,permanent,,24000.0,24000.0,https://www.adzuna.co.uk/jobs/land/ad/5503181541?se=ZqUoGovF8BG8r4BHwuTYvQ&utm_medium=api&utm_source=ca4e041d&v=16D86EB0326FA9882C9F1130D74C0D81C6C7F1D0,UK,Wales,Wrexham Technology Park,False,False,False,True,False,False,False,False,24000.0,,False
business analyst,Business Analyst,ITRAC,"The City, Central London","['UK', 'London', 'Central London', 'The City']",2025-11-13T08:03:37Z,"Business Analyst (London) Hybrid Contract - £400-425 P/D OUTSIDE IR35 The Business Analyst will work to produce high-level Discovery documentation across a range of upcoming portfolio projects. They will work closely with Business Stakeholders to understand existing processes and problem statements, document vision and objectives, and map out new processes and requirements. The projects will be both Tech and non-Tech and will cover several different Business Areas. Key accountabilities: User St…",IT Jobs,contract,,53671.75,53671.75,https://www.adzuna.co.uk/jobs/land/ad/5493188156?se=ZqUoGovF8BG8r4BHwuTYvQ&utm_medium=api&utm_source=ca4e041d&v=B62D36E9C161B89E44B0B010AF7D26C69054A314,UK,London,The City,False,False,False,True,False,False,False,False,53671.75,,False
business analyst,Business Analyst,ITRAC,"London, UK","['UK', 'London']",2025-11-13T07:49:49Z,"Business Analyst (London) Hybrid Contract - £400-425 P/D OUTSIDE IR35 The Business Analyst will work to produce high-level Discovery documentation across a range of upcoming portfolio projects. They will work closely with Business Stakeholders to understand existing processes and problem statements, document vision and objectives, and map out new processes and requirements. The projects will be both Tech and non-Tech and will cover several different Business Areas. Key accountabilities: User St…",IT Jobs,contract,,53147.53,53147.53,https://www.adzuna.co.uk/jobs/land/ad/5493179037?se=ZqUoGovF8BG8r4BHwuTYvQ&utm_medium=api&utm_source=ca4e041d&v=F63094EA7AEC765AF052F49F17E56795E3CD144B,UK,London,London,False,False,False,True,False,False,False,False,53147.53,,False
